ano_agricola,dsc_safra_previsao,uf,produto,id_produto,area_plantada_mil_ha,producao_mil_t,dsc_situacao_levantamento,producao_acucar_mil_t,producao_etanol_anidro_mil_l,producao_etanol_hidratado_mil_l,producao_etanol_total_mil_l,produtcao_atr_kg_t
2011/12             ,UNICA          ,MT,CANA DE ACUCAR                          ,4238,220.1,13153.7,PREVISAO                                                    ,491.9,475770,508235,984005,168.4
2011/12             ,UNICA          ,PA,CANA DE ACUCAR                          ,4238,12.6,666.4,PREVISAO                                                    ,37.1,22123,10740,32863,144.3
2011/12             ,UNICA          ,PB,CANA DE ACUCAR                          ,4238,122.6,6723.1,PREVISAO                                                    ,208.7,150820,151240,302060,110.2
2011/12             ,UNICA          ,PE,CANA DE ACUCAR                          ,4238,326.1,17642.2,PREVISAO                                                    ,1202,168350,99630,267980,97.9
2011/12             ,UNICA          ,PI,CANA DE ACUCAR                          ,4238,13.9,992,PREVISAO                                                    ,52.4,31365,1472,32837,113.8
2011/12             ,UNICA          ,PR,CANA DE ACUCAR                          ,4238,611.4,40519.5,PREVISAO                                                    ,3096.2,393665,910200,1303865,135.3
2011/12             ,UNICA          ,RJ,CANA DE ACUCAR                          ,4238,41.3,2207.9,PREVISAO                                                    ,95.3,0,68195,68195,97.5
2011/12             ,UNICA          ,RN,CANA DE ACUCAR                          ,4238,62.3,2973.3,PREVISAO                                                    ,133.9,40760,30800,71560,89
2011/12             ,UNICA          ,RO,CANA DE ACUCAR                          ,4238,2.8,157.1,PREVISAO                                                    ,0,0,8763,8763,94.3
2011/12             ,UNICA          ,RS,CANA DE ACUCAR                          ,4238,1.7,95.1,PREVISAO                                                    ,0,0,1665,1665,29.6
2011/12             ,UNICA          ,SE,CANA DE ACUCAR                          ,4238,42.5,2551.5,PREVISAO                                                    ,129.8,35375,62225,97600,119.1
2011/12             ,UNICA          ,SP,CANA DE ACUCAR                          ,4238,4370.1,305636.4,PREVISAO                                                    ,23355.2,5450827,6555996,12006823,148
2011/12             ,UNICA          ,TO,CANA DE ACUCAR                          ,4238,14.7,1366.2,PREVISAO                                                    ,0,108875,48172,157047,200.3
2012/13             ,UNICA          ,AC,CANA DE ACUCAR                          ,4238,0.7,70.3,PREVISAO                                                    ,0,0,4102.5,4102.5,98.7
2012/13             ,UNICA          ,AL,CANA DE ACUCAR                          ,4238,445.7,23533.5,PREVISAO                                                    ,2232.5,335989,204529.6,540518.6,139.5
2012/13             ,UNICA          ,AM,CANA DE ACUCAR                          ,4238,3.7,266.5,PREVISAO                                                    ,15.2,0,4045.8,4045.8,85.7
2012/13             ,UNICA          ,BA,CANA DE ACUCAR                          ,4238,48.6,3083.8,PREVISAO                                                    ,113.4,78733.4,76489.5,155222.9,125.6
2012/13             ,UNICA          ,CE,CANA DE ACUCAR                          ,4238,1.1,57,PREVISAO                                                    ,0,0,3988.6,3988.6,118.3
2012/13             ,UNICA          ,ES,CANA DE ACUCAR                          ,4238,62.1,3431.6,PREVISAO                                                    ,118.4,104047.6,68302.3,172349.9,123.4
2012/13             ,UNICA          ,GO,CANA DE ACUCAR                          ,4238,725.9,52727.2,PREVISAO                                                    ,1875.3,821281.2,2309173.8,3130455,138.9
2012/13             ,UNICA          ,MA,CANA DE ACUCAR                          ,4238,41.9,2072,PREVISAO                                                    ,8.9,136398.3,23516.5,159914.7,139.9
2012/13             ,UNICA          ,MG,CANA DE ACUCAR                          ,4238,721.9,51208,PREVISAO                                                    ,3418.4,846771.4,1172417.7,2019189.1,138
2012/13             ,UNICA          ,MS,CANA DE ACUCAR                          ,4238,542.7,36955.2,PREVISAO                                                    ,1741.9,485023.1,1430420,1915443.1,138.1
2012/13             ,UNICA          ,MT,CANA DE ACUCAR                          ,4238,235.5,16319,PREVISAO                                                    ,491.9,475737.4,508286.3,984023.7,135.8
2012/13             ,UNICA          ,PA,CANA DE ACUCAR                          ,4238,11.4,695.3,PREVISAO                                                    ,37.1,22123.1,10736.7,32859.7,138.3
2012/13             ,UNICA          ,PB,CANA DE ACUCAR                          ,4238,122.0,5354.9,PREVISAO                                                    ,211.2,152583.8,153035.3,305619.1,140
2012/13             ,UNICA          ,PE,CANA DE ACUCAR                          ,4238,312.1,13575.9,PREVISAO                                                    ,1211.3,169596.1,100435.2,270031.2,128.2
2012/13             ,UNICA          ,PI,CANA DE ACUCAR                          ,4238,14.7,828.1,PREVISAO                                                    ,52.4,31365.2,1468.2,32833.4,136.3
2012/13             ,UNICA          ,PR,CANA DE ACUCAR                          ,4238,610.8,39723.5,PREVISAO                                                    ,3093.7,393347.6,909799.4,1303147,137.9
2012/13             ,UNICA          ,RJ,CANA DE ACUCAR                          ,4238,39.9,1893.8,PREVISAO                                                    ,95.5,0,68292.6,68292.6,113.9
2012/13             ,UNICA          ,RN,CANA DE ACUCAR                          ,4238,53.6,2247.8,PREVISAO                                                    ,133.9,40769.3,30816.2,71585.6,117.7
2012/13             ,UNICA          ,RO,CANA DE ACUCAR                          ,4238,2.6,125.1,PREVISAO                                                    ,0,0,8762.8,8762.8,118.5
2012/13             ,UNICA          ,RS,CANA DE ACUCAR                          ,4238,1.6,32.9,PREVISAO                                                    ,0,0,1665.1,1665.1,85.5
2012/13             ,UNICA          ,SE,CANA DE ACUCAR                          ,4238,43.4,2219.3,PREVISAO                                                    ,134.2,36553.3,64317.2,100870.5,141.5
2012/13             ,UNICA          ,SP,CANA DE ACUCAR                          ,4238,4419.5,330694.9,PREVISAO                                                    ,23351.7,5613181.1,6585326.6,12198507.7,137.7
2012/13             ,UNICA          ,TO,CANA DE ACUCAR                          ,4238,23.6,1800.2,PREVISAO                                                    ,0,108872.4,48164,157036.4,152
