ano;mes;municipio;cod_ibge;uf;regiao;valor_formalizado;valor_executado;valor_devolvido
2015,0;5,0;CARAÚBAS-RN                                       ;2402303                       ;RN        ;NORDESTE            ;114725,5;114725,5;0,0
2015,0;5,0;ERECHIM-RS                                        ;4307005                       ;RS        ;SUL                 ;128034,52;120538,2;0,0
2015,0;5,0;PRESIDENTE BERNARDES-SP                           ;3541208                       ;SP        ;SUDESTE             ;168000,0;160000,0015;0,0
2015,0;5,0;PRESIDENTE VENCESLAU-SP                           ;3541505                       ;SP        ;SUDESTE             ;176000,0;176000,0;107258,8
2015,0;6,0;DELMIRO GOUVEIA-AL                                ;2702405                       ;AL        ;NORDESTE            ;143892,0;143892,0;39049,56
2015,0;6,0;PÃO DE AÇÚCAR-AL                                  ;2706406                       ;AL        ;NORDESTE            ;46977,5;23000,0;404310,8
2015,0;6,0;SANTANA DO IPANEMA-AL                             ;2708006                       ;AL        ;NORDESTE            ;160000,0;160000,0;0,0
2015,0;6,0;SANTANA DO MUNDAÚ-AL                              ;2708105                       ;AL        ;NORDESTE            ;1503881,099999999;1503881,099999999;277338,8199999987
2015,0;6,0;SÃO SEBASTIÃO-AL                                  ;2708808                       ;AL        ;NORDESTE            ;63996,73;63996,73;39955,36
2015,0;6,0;TAQUARANA-AL                                      ;2709103                       ;AL        ;NORDESTE            ;439948,4299999999;415949,65;962266,2399999999
2015,0;6,0;ALEGRE-ES                                         ;3200201                       ;ES        ;SUDESTE             ;31988,66;31988,66;2870,6
2015,0;6,0;JERÔNIMO MONTEIRO-ES                              ;3203106                       ;ES        ;SUDESTE             ;47128,8;47128,8;9279,69
2015,0;6,0;SANTA MARIA DE JETIBÁ-ES                          ;3204559                       ;ES        ;SUDESTE             ;315723,64;299724,95443;691072,2000000002
2015,0;6,0;SÃO MATEUS-ES                                     ;3204906                       ;ES        ;SUDESTE             ;73468,57;73468,56402;18983,3
2015,0;6,0;ARAGOIÂNIA-GO                                     ;5201801                       ;GO        ;CENTRO-OESTE        ;247660,1799999999;247660,1799999999;117297,8000000001
2015,0;6,0;IPAMERI-GO                                        ;5210109                       ;GO        ;CENTRO-OESTE        ;199999,5;199999,5;0,0
2015,0;6,0;ITABERAÍ-GO                                       ;5210406                       ;GO        ;CENTRO-OESTE        ;407864,2100000001;407864,2100000001;0,0
2015,0;6,0;PIRES DO RIO-GO                                   ;5217401                       ;GO        ;CENTRO-OESTE        ;56000,0;56000,0;5392,66
2015,0;6,0;POSSE-GO                                          ;5218300                       ;GO        ;CENTRO-OESTE        ;194711,53;170101,435;144387,32
2015,0;6,0;RUBIATABA-GO                                      ;5218904                       ;GO        ;CENTRO-OESTE        ;377883,4500000001;363496,2500000001;620589,2199999999
2015,0;6,0;SILVÂNIA-GO                                       ;5220603                       ;GO        ;CENTRO-OESTE        ;438605,79;406609,9399999999;1822409,9700000002
2015,0;6,0;JAÍBA-MG                                          ;3135050                       ;MG        ;SUDESTE             ;128043,47;128043,46174;377119,9799999999
2015,0;6,0;ÓBIDOS-PA                                         ;1505106                       ;PA        ;NORTE               ;791977,1;791977,1;3894205,590000005
2015,0;6,0;PEDRAS DE FOGO-PB                                 ;2511202                       ;PB        ;NORDESTE            ;223998,79;223998,7896;150203,4800000001
2015,0;6,0;SÃO MIGUEL DE TAIPU-PB                            ;2515005                       ;PB        ;NORDESTE            ;63999,28;63999,28004;40484,32
2015,0;6,0;SAPÉ-PB                                           ;2515302                       ;PB        ;NORDESTE            ;257737,07;209737,07;2879667,3000000007
2015,0;6,0;COLÔNIA DO GURGUÉIA-PI                            ;2202752                       ;PI        ;NORDESTE            ;246933,99;158019,3482;0,0
2015,0;6,0;UNIÃO-PI                                          ;2211100                       ;PI        ;NORDESTE            ;71418,1;54827,93;0,0
2015,0;6,0;QUERÊNCIA DO NORTE-PR                             ;4121000                       ;PR        ;SUL                 ;919941,4699999992;0,0;0,0
2015,0;6,0;MARTINS-RN                                        ;2407401                       ;RN        ;NORDESTE            ;378017,0;334517,0;0,0
2015,0;6,0;CACOAL-RO                                         ;1100049                       ;RO        ;NORTE               ;670821,7699999999;654843,5690099997;712991,6699999988
2015,0;6,0;NOVA SANTA RITA-RS                                ;4313375                       ;RS        ;SUL                 ;1199999,75;0,0;0,0
2015,0;7,0;ACRELÂNDIA-AC                                     ;1200013                       ;AC        ;NORTE               ;300001,8;0,0;0,0
2015,0;7,0;PORTO ACRE-AC                                     ;1200807                       ;AC        ;NORTE               ;238693,0;218693,0;51065,96
2015,0;7,0;RIO BRANCO-AC                                     ;1200401                       ;AC        ;NORTE               ;783422,9499999997;755422,9499999997;203402,99
2015,0;7,0;ARAPIRACA-AL                                      ;2700300                       ;AL        ;NORDESTE            ;1487881,6999999995;1423889,2999999998;1843082,0000000035
2015,0;7,0;CACIMBINHAS-AL                                    ;2701209                       ;AL        ;NORDESTE            ;367961,5999999999;351961,5999999999;752,4
2015,0;7,0;ESTRELA DE ALAGOAS-AL                             ;2702553                       ;AL        ;NORDESTE            ;447824,1;447824,1;325809,6800000003
2015,0;7,0;MAJOR ISIDORO-AL                                  ;2704401                       ;AL        ;NORDESTE            ;127872,0;127872,0;20374,08
2015,0;7,0;MURICI-AL                                         ;2705507                       ;AL        ;NORDESTE            ;215995,4;199995,4;22268,5
2015,0;7,0;SANTANA DO MUNDAÚ-AL                              ;2708105                       ;AL        ;NORDESTE            ;1727878,3999999983;1719878,3999999983;288156,3199999995
2015,0;7,0;SÃO LUÍS DO QUITUNDE-AL                           ;2708501                       ;AL        ;NORDESTE            ;583982,2599999999;583982,2699999999;965787,079999999
2015,0;7,0;SÃO SEBASTIÃO-AL                                  ;2708808                       ;AL        ;NORDESTE            ;167854,65;167854,65;233083,62
2015,0;7,0;UNIÃO DOS PALMARES-AL                             ;2709301                       ;AL        ;NORDESTE            ;495907,0;495907,0;436417,3799999997
2015,0;7,0;MANACAPURU-AM                                     ;1302504                       ;AM        ;NORTE               ;175996,2;167996,2;73,29
2015,0;7,0;GOVERNADOR MANGABEIRA-BA                          ;2911600                       ;BA        ;NORDESTE            ;231376,0;224248,0;224875,1999999999
2015,0;7,0;IGAPORÃ-BA                                        ;2913408                       ;BA        ;NORDESTE            ;312000,0;312000,0;276855,5399999997
2015,0;7,0;MANOEL VITORINO-BA                                ;2920403                       ;BA        ;NORDESTE            ;292843,1200000001;196855,0000000001;12417152,139999995
2015,0;7,0;MUQUÉM DE SÃO FRANCISCO-BA                        ;2922250                       ;BA        ;NORDESTE            ;359648,6;359648,7500000008;840686,8500000007
2015,0;7,0;SANTANA-BA                                        ;2928208                       ;BA        ;NORDESTE            ;295999,89;295999,88;483793,5
2015,0;7,0;SOUTO SOARES-BA                                   ;2930808                       ;BA        ;NORDESTE            ;190499,89;190499,8725;239933,7599999999
2015,0;7,0;COLATINA-ES                                       ;3201506                       ;ES        ;SUDESTE             ;463810,5599999999;463810,5599999999;816856,3399999994
2015,0;7,0;IBATIBA-ES                                        ;3202454                       ;ES        ;SUDESTE             ;374670,2000000001;366671,4;848815,0
2015,0;7,0;MANTENÓPOLIS-ES                                   ;3203304                       ;ES        ;SUDESTE             ;392671,1;368704,24143;1036806,839999999
2015,0;7,0;NOVA VENÉCIA-ES                                   ;3203908                       ;ES        ;SUDESTE             ;45089,16;38908,99632;5192,1
2015,0;7,0;PANCAS-ES                                         ;3204005                       ;ES        ;SUDESTE             ;95709,07;95709,06118;0,0
