Ano;UF;Quantidade (mil t)
2.013,00;RN;60,02
2.013,00;RO;687,87
2.013,00;RR;147,48
2.013,00;RS;27.391,57
2.013,00;SC;5.180,39
2.013,00;SE;3,20
2.013,00;SP;11.652,96
2.013,00;TO;1.412,22
2.012,00;AC;29,30
2.012,00;AL;550,10
2.012,00;AM;388,30
2.012,00;AP;1,50
2.012,00;BA;4.022,80
2.012,00;CE;346,80
2.012,00;DF;464,20
2.012,00;ES;1.397,40
2.012,00;GO;12.890,20
2.012,00;MA;1.803,80
2.012,00;MG;8.552,80
2.012,00;MS;7.318,80
2.012,00;MT;28.381,50
2.012,00;PA;606,40
2.012,00;PB;93,00
2.012,00;PE;977,80
2.012,00;PI;962,10
2.012,00;PR;27.301,70
2.012,00;RJ;184,30
2.012,00;RN;57,00
2.012,00;RO;669,40
2.012,00;RR;147,40
2.012,00;RS;26.500,00
2.012,00;SC;5.095,20
2.012,00;SE;2,60
2.012,00;SP;12.539,30
2.012,00;TO;1.198,40
2.011,00;AC;28,50
2.011,00;AL;550,60
2.011,00;AM;376,80
2.011,00;AP;,82
2.011,00;BA;4.019,20
2.011,00;CE;346,70
2.011,00;DF;460,30
2.011,00;ES;1.383,60
2.011,00;GO;11.916,80
2.011,00;MA;1.783,60
2.011,00;MG;8.203,50
2.011,00;MS;7.167,20
2.011,00;MT;27.408,00
2.011,00;PA;581,20
2.011,00;PB;93,60
2.011,00;PE;1.005,60
2.011,00;PI;952,80
2.011,00;PR;27.796,00
2.011,00;RJ;182,70
2.011,00;RN;57,70
2.011,00;RO;569,40
2.011,00;RR;148,00
2.011,00;RS;26.247,50
2.011,00;SC;4.973,60
2.011,00;SE;3,20
2.011,00;SP;13.030,30
2.011,00;TO;1.169,20
2.010,00;AC;28,90
2.010,00;AL;550,30
2.010,00;AM;380,90
2.010,00;AP;,80
2.010,00;BA;4.011,00
2.010,00;CE;344,40
2.010,00;DF;460,10
2.010,00;ES;1.371,90
2.010,00;GO;12.955,70
2.010,00;MA;1.902,70
2.010,00;MG;8.068,30
2.010,00;MS;7.186,90
2.010,00;MT;26.726,00
2.010,00;PA;569,70
2.010,00;PB;93,60
2.010,00;PE;977,40
2.010,00;PI;897,50
2.010,00;PR;27.257,40
2.010,00;RJ;182,80
2.010,00;RN;53,90
2.010,00;RO;559,30
2.010,00;RR;148,00
2.010,00;RS;24.487,10
2.010,00;SC;4.910,20
2.010,00;SE;3,20
2.010,00;SP;12.609,80
2.010,00;TO;1.090,40
2.009,00;AC;28,28
2.009,00;AL;489,05
2.009,00;AM;380,93
2.009,00;AP;,82
2.009,00;BA;3.580,13
2.009,00;CE;333,89
2.009,00;DF;440,44
2.009,00;ES;1.414,48
2.009,00;GO;12.964,45
2.009,00;MA;1.654,00
2.009,00;MG;7.640,68
2.009,00;MS;6.831,39
2.009,00;MT;24.533,68
