ano_agricola;safra;uf;produto;id_produto;id_levantamento;dsc_levantamento;area_plantada_mil_ha;producao_mil_t;produtividade_mil_ha_mil_t
2021                ;UNICA          ;MG;CAFE                                    ;7090; 002;2º LEV              ;9942;348;35
2021                ;UNICA          ;MG;CAFE                                    ;7498; 002;2º LEV              ;982471;22996;23.4
2021                ;UNICA          ;MG;CAFE                                    ;7498; 003;3º LEV              ;961283;21121;22
2021                ;UNICA          ;MG;CAFE                                    ;7090; 003;3º LEV              ;9635;321;33.3
2021                ;UNICA          ;MG;CAFE                                    ;7498; 004;4º LEV              ;970934;21858.9;22.5
2021                ;UNICA          ;MG;CAFE                                    ;7090; 004;4º LEV              ;8515;283.4;33.3
2021                ;UNICA          ;MT;CAFE                                    ;7090; 001;1º LEV              ;10779;197;18.3
2021                ;UNICA          ;MT;CAFE                                    ;7090; 002;2º LEV              ;10824;199;18.4
2021                ;UNICA          ;MT;CAFE                                    ;7090; 003;3º LEV              ;10776;194;18
2021                ;UNICA          ;MT;CAFE                                    ;7090; 004;4º LEV              ;10776;194.2;18
2021                ;UNICA          ;NI;CAFE                                    ;7090; 001;1º LEV              ;3517;82;23.3
2021                ;UNICA          ;NI;CAFE                                    ;7498; 001;1º LEV              ;4454;57;12.8
2021                ;UNICA          ;NI;CAFE                                    ;7498; 002;2º LEV              ;2710;32;11.8
2021                ;UNICA          ;NI;CAFE                                    ;7090; 002;2º LEV              ;1401;40;28.6
2021                ;UNICA          ;NI;CAFE                                    ;7498; 003;3º LEV              ;3184;33;10.4
2021                ;UNICA          ;NI;CAFE                                    ;7090; 003;3º LEV              ;1401;41;29.3
2021                ;UNICA          ;NI;CAFE                                    ;7090; 004;4º LEV              ;1428;46.2;32.4
2021                ;UNICA          ;NI;CAFE                                    ;7498; 004;4º LEV              ;3187;32.9;10.3
2021                ;UNICA          ;PR;CAFE                                    ;7498; 001;1º LEV              ;36120;925;25.6
2021                ;UNICA          ;PR;CAFE                                    ;7498; 002;2º LEV              ;33250;876;26.3
2021                ;UNICA          ;PR;CAFE                                    ;7498; 003;3º LEV              ;33250;873;26.3
2021                ;UNICA          ;PR;CAFE                                    ;7498; 004;4º LEV              ;33070;876.3;26.5
2021                ;UNICA          ;RJ;CAFE                                    ;7498; 001;1º LEV              ;11567;276;23.9
2021                ;UNICA          ;RJ;CAFE                                    ;7498; 002;2º LEV              ;10550;235;22.3
2021                ;UNICA          ;RJ;CAFE                                    ;7498; 003;3º LEV              ;10580;236;22.3
2021                ;UNICA          ;RJ;CAFE                                    ;7498; 004;4º LEV              ;10072.5;209;20.8
2021                ;UNICA          ;RO;CAFE                                    ;7090; 001;1º LEV              ;63569;2347;36.9
2021                ;UNICA          ;RO;CAFE                                    ;7090; 002;2º LEV              ;63569;2194;34.5
2021                ;UNICA          ;RO;CAFE                                    ;7090; 003;3º LEV              ;63569;2168;34.1
2021                ;UNICA          ;RO;CAFE                                    ;7090; 004;4º LEV              ;63569;2263.1;35.6
2021                ;UNICA          ;SP;CAFE                                    ;7498; 001;1º LEV              ;198181;4120;20.8
2021                ;UNICA          ;SP;CAFE                                    ;7498; 002;2º LEV              ;198181;4017;20.3
2021                ;UNICA          ;SP;CAFE                                    ;7498; 003;3º LEV              ;198181;4009;20.2
2021                ;UNICA          ;SP;CAFE                                    ;7498; 004;4º LEV              ;198181;4007.2;20.2
2022                ;UNICA          ;AM;CAFE                                    ;7498; 001;1º LEV              ;2000;30.6;15.3
